,name,state,categories,lat,long,city,Active Life,Arts & Entertainment,Automotive,Beauty & Spas,Education,Event Planning & Services,Financial Services,Food,Health & Medical,Home Services,Hotels & Travel,Local Flavor,Local Services,Mass Media,Nightlife,Pets,Professional Services,Religious Organizations,Restaurants,Shopping
"Peoria, AZ",peoria,arizona,"Counter({'Restaurants': 952792, 'Shopping': 824415, 'Home Services': 750647, 'Health & Medical': 644558, 'Beauty & Spas': 537886, 'Food': 528841, 'Local Services': 448278, 'Automotive': 402056, 'Active Life': 263197, 'Event Planning & Services': 224490, 'Professional Services': 223839, 'Nightlife': 213035, 'Arts & Entertainment': 123640, 'Hotels & Travel': 122981, 'Financial Services': 117918, 'Education': 110067, 'Pets': 108278, 'Local Flavor': 30230, 'Religious Organizations': 18788, 'Mass Media': 9310})",33.60921555,-112.2556132,peoria,263197,123640,402056,537886,110067,224490,117918,528841,644558,750647,122981,30230,448278,9310,213035,108278,223839,18788,952792,824415
"Chandler, AZ",chandler,arizona,"Counter({'Restaurants': 971498, 'Shopping': 840709, 'Home Services': 766165, 'Health & Medical': 657245, 'Beauty & Spas': 548092, 'Food': 539295, 'Local Services': 457314, 'Automotive': 410241, 'Active Life': 268553, 'Event Planning & Services': 228851, 'Professional Services': 228329, 'Nightlife': 216873, 'Arts & Entertainment': 125924, 'Hotels & Travel': 125235, 'Financial Services': 120274, 'Education': 112308, 'Pets': 110382, 'Local Flavor': 30807, 'Religious Organizations': 19151, 'Mass Media': 9475})",33.3020931,-111.8426128,chandler,268553,125924,410241,548092,112308,228851,120274,539295,657245,766165,125235,30807,457314,9475,216873,110382,228329,19151,971498,840709
"Concord, NC",concord,north carolina,"Counter({'Restaurants': 24654, 'Shopping': 13713, 'Food': 12784, 'Beauty & Spas': 8697, 'Home Services': 8066, 'Health & Medical': 6533, 'Automotive': 6477, 'Local Services': 5937, 'Nightlife': 5082, 'Event Planning & Services': 4703, 'Active Life': 4388, 'Hotels & Travel': 2598, 'Arts & Entertainment': 2360, 'Pets': 2325, 'Professional Services': 2036, 'Education': 1241, 'Financial Services': 837, 'Local Flavor': 663, 'Religious Organizations': 243, 'Mass Media': 66})",35.364974,-80.708763,concord,4388,2360,6477,8697,1241,4703,837,12784,6533,8066,2598,663,5937,66,5082,2325,2036,243,24654,13713
"North York, ON",north york,ON,"Counter({'Restaurants': 2961424, 'Food': 1438392, 'Shopping': 1043390, 'Beauty & Spas': 669180, 'Nightlife': 505994, 'Health & Medical': 335534, 'Event Planning & Services': 325034, 'Local Services': 300291, 'Active Life': 275161, 'Automotive': 254452, 'Home Services': 200027, 'Arts & Entertainment': 178373, 'Hotels & Travel': 166686, 'Pets': 119424, 'Professional Services': 92711, 'Education': 83027, 'Local Flavor': 39919, 'Financial Services': 34147, 'Mass Media': 6706, 'Religious Organizations': 6075})",43.7605457,-79.4846618,north york,275161,178373,254452,669180,83027,325034,34147,1438392,335534,200027,166686,39919,300291,6706,505994,119424,92711,6075,2961424,1043390
"Matthews, NC",matthews,north carolina,"Counter({'Restaurants': 43300, 'Shopping': 24102, 'Food': 22451, 'Beauty & Spas': 15294, 'Home Services': 14217, 'Health & Medical': 11506, 'Automotive': 11437, 'Local Services': 10462, 'Nightlife': 8918, 'Event Planning & Services': 8274, 'Active Life': 7725, 'Hotels & Travel': 4561, 'Arts & Entertainment': 4130, 'Pets': 4112, 'Professional Services': 3577, 'Education': 2175, 'Financial Services': 1470, 'Local Flavor': 1163, 'Religious Organizations': 429, 'Mass Media': 116})",35.140693,-80.621909,matthews,7725,4130,11437,15294,2175,8274,1470,22451,11506,14217,4561,1163,10462,116,8918,4112,3577,429,43300,24102
"McKeesport, PA",mckeesport,pennsylvania,"Counter({'Restaurants': 87265, 'Food': 43921, 'Shopping': 39940, 'Nightlife': 21451, 'Beauty & Spas': 20729, 'Automotive': 18396, 'Home Services': 18166, 'Local Services': 14504, 'Health & Medical': 14451, 'Event Planning & Services': 13847, 'Active Life': 12195, 'Arts & Entertainment': 7696, 'Hotels & Travel': 7451, 'Pets': 6348, 'Professional Services': 3966, 'Education': 3113, 'Local Flavor': 2181, 'Financial Services': 1972, 'Religious Organizations': 854, 'Mass Media': 302})",40.3403409,-79.8112483,mckeesport,12195,7696,18396,20729,3113,13847,1972,43921,14451,18166,7451,2181,14504,302,21451,6348,3966,854,87265,39940
"Surprise, AZ",surprise,arizona,"Counter({'Restaurants': 1212154, 'Shopping': 1048755, 'Home Services': 954606, 'Health & Medical': 820040, 'Beauty & Spas': 684530, 'Food': 672768, 'Local Services': 570176, 'Automotive': 511167, 'Active Life': 334743, 'Event Planning & Services': 285668, 'Professional Services': 284741, 'Nightlife': 271196, 'Arts & Entertainment': 157373, 'Hotels & Travel': 156564, 'Financial Services': 150013, 'Education': 139977, 'Pets': 137782, 'Local Flavor': 38486, 'Religious Organizations': 23912, 'Mass Media': 11853})",33.63724,-112.383643,surprise,334743,157373,511167,684530,139977,285668,150013,672768,820040,954606,156564,38486,570176,11853,271196,137782,284741,23912,1212154,1048755
"Whitchurch-Stouffville, ON",whitchurchstouffville,ON,"Counter({'Restaurants': 5907576, 'Food': 2869446, 'Shopping': 2081422, 'Beauty & Spas': 1334920, 'Nightlife': 1009414, 'Health & Medical': 669348, 'Event Planning & Services': 648352, 'Local Services': 599023, 'Active Life': 548881, 'Automotive': 507565, 'Home Services': 399004, 'Arts & Entertainment': 355844, 'Hotels & Travel': 332480, 'Pets': 238245, 'Professional Services': 184939, 'Education': 165619, 'Local Flavor': 79639, 'Financial Services': 68117, 'Mass Media': 13380, 'Religious Organizations': 12118})",43.9994281,-79.2368879,whitchurchstouffville,548881,355844,507565,1334920,165619,648352,68117,2869446,669348,399004,332480,79639,599023,13380,1009414,238245,184939,12118,5907576,2081422
"Gastonia, NC",gastonia,north carolina,"Counter({'Restaurants': 92135, 'Shopping': 51235, 'Food': 47815, 'Beauty & Spas': 32541, 'Home Services': 30203, 'Health & Medical': 24476, 'Automotive': 24267, 'Local Services': 22213, 'Nightlife': 19009, 'Event Planning & Services': 17608, 'Active Life': 16430, 'Hotels & Travel': 9714, 'Arts & Entertainment': 8811, 'Pets': 8716, 'Professional Services': 7606, 'Education': 4630, 'Financial Services': 3135, 'Local Flavor': 2480, 'Religious Organizations': 913, 'Mass Media': 248})",35.2555466,-81.1014888,gastonia,16430,8811,24267,32541,4630,17608,3135,47815,24476,30203,9714,2480,22213,248,19009,8716,7606,913,92135,51235
"Mentor, OH",mentor,ohio,"Counter({'Restaurants': 1109964, 'Food': 524875, 'Shopping': 484463, 'Nightlife': 300906, 'Beauty & Spas': 255227, 'Automotive': 228358, 'Home Services': 203739, 'Event Planning & Services': 192336, 'Local Services': 178672, 'Health & Medical': 160716, 'Active Life': 143702, 'Hotels & Travel': 111629, 'Arts & Entertainment': 106024, 'Pets': 82608, 'Professional Services': 47969, 'Education': 35391, 'Local Flavor': 19364, 'Financial Services': 18919, 'Religious Organizations': 6638, 'Mass Media': 2848})",41.681483,-81.344831,mentor,143702,106024,228358,255227,35391,192336,18919,524875,160716,203739,111629,19364,178672,2848,300906,82608,47969,6638,1109964,484463
"Oakmont, PA",oakmont,pennsylvania,"Counter({'Restaurants': 174497, 'Food': 87832, 'Shopping': 79875, 'Nightlife': 42897, 'Beauty & Spas': 41456, 'Automotive': 36784, 'Home Services': 36329, 'Local Services': 29005, 'Health & Medical': 28901, 'Event Planning & Services': 27692, 'Active Life': 24385, 'Arts & Entertainment': 15392, 'Hotels & Travel': 14900, 'Pets': 12695, 'Professional Services': 7932, 'Education': 6226, 'Local Flavor': 4362, 'Financial Services': 3944, 'Religious Organizations': 1708, 'Mass Media': 604})",40.5194397,-79.8423011,oakmont,24385,15392,36784,41456,6226,27692,3944,87832,28901,36329,14900,4362,29005,604,42897,12695,7932,1708,174497,79875
"Wickliffe, OH",wickliffe,ohio,"Counter({'Restaurants': 2525800, 'Food': 1194539, 'Shopping': 1102755, 'Nightlife': 684655, 'Beauty & Spas': 581089, 'Automotive': 519816, 'Home Services': 463653, 'Event Planning & Services': 437660, 'Local Services': 406757, 'Health & Medical': 365892, 'Active Life': 327141, 'Hotels & Travel': 254006, 'Arts & Entertainment': 241232, 'Pets': 188080, 'Professional Services': 109164, 'Education': 80517, 'Local Flavor': 44052, 'Financial Services': 43031, 'Religious Organizations': 15113, 'Mass Media': 6476})",41.6057871,-81.4753991,wickliffe,327141,241232,519816,581089,80517,437660,43031,1194539,365892,463653,254006,44052,406757,6476,684655,188080,109164,15113,2525800,1102755
"Laval, QC",laval,QC,"Counter({'Restaurants': 7231, 'Food': 2634, 'Shopping': 1183, 'Nightlife': 1058, 'Event Planning & Services': 632, 'Hotels & Travel': 502, 'Beauty & Spas': 494, 'Active Life': 378, 'Arts & Entertainment': 349, 'Health & Medical': 220, 'Local Services': 203, 'Home Services': 175, 'Automotive': 164, 'Pets': 87, 'Local Flavor': 85, 'Education': 71, 'Professional Services': 51, 'Financial Services': 16, 'Religious Organizations': 12, 'Mass Media': 6})",45.57519002,-73.71332738,laval,378,349,164,494,71,632,16,2634,220,175,502,85,203,6,1058,87,51,12,7231,1183
"Boulder City, NV",boulder city,nevada,"Counter({'Restaurants': 34918, 'Shopping': 27694, 'Home Services': 22332, 'Food': 19755, 'Health & Medical': 19190, 'Beauty & Spas': 18269, 'Local Services': 14636, 'Automotive': 12696, 'Nightlife': 10118, 'Event Planning & Services': 9625, 'Active Life': 9073, 'Professional Services': 8638, 'Arts & Entertainment': 7820, 'Hotels & Travel': 5978, 'Financial Services': 4565, 'Education': 3551, 'Pets': 3028, 'Local Flavor': 1404, 'Religious Organizations': 634, 'Mass Media': 376})",35.967597,-114.867458,boulder city,9073,7820,12696,18269,3551,9625,4565,19755,19190,22332,5978,1404,14636,376,10118,3028,8638,634,34918,27694
"Davidson, NC",davidson,north carolina,"Counter({'Restaurants': 183652, 'Shopping': 102190, 'Food': 95327, 'Beauty & Spas': 64898, 'Home Services': 60229, 'Health & Medical': 48788, 'Automotive': 48313, 'Local Services': 44290, 'Nightlife': 37930, 'Event Planning & Services': 35116, 'Active Life': 32751, 'Hotels & Travel': 19383, 'Arts & Entertainment': 17588, 'Pets': 17355, 'Professional Services': 15170, 'Education': 9237, 'Financial Services': 6256, 'Local Flavor': 4950, 'Religious Organizations': 1820, 'Mass Media': 496})",35.5008943,-80.8540364,davidson,32751,17588,48313,64898,9237,35116,6256,95327,48788,60229,19383,4950,44290,496,37930,17355,15170,1820,183652,102190
"Homestead, PA",homestead,pennsylvania,"Counter({'Restaurants': 348971, 'Food': 175653, 'Shopping': 159745, 'Nightlife': 85786, 'Beauty & Spas': 82906, 'Automotive': 73566, 'Home Services': 72655, 'Local Services': 58007, 'Health & Medical': 57796, 'Event Planning & Services': 55383, 'Active Life': 48768, 'Arts & Entertainment': 30782, 'Hotels & Travel': 29799, 'Pets': 25388, 'Professional Services': 15864, 'Education': 12451, 'Local Flavor': 8724, 'Financial Services': 7888, 'Religious Organizations': 3416, 'Mass Media': 1208})",40.40734214,-79.91702424,homestead,48768,30782,73566,82906,12451,55383,7888,175653,57796,72655,29799,8724,58007,1208,85786,25388,15864,3416,348971,159745
"Pickering, ON",pickering,ON,"Counter({'Restaurants': 11815042, 'Food': 5738865, 'Shopping': 4162837, 'Beauty & Spas': 2669835, 'Nightlife': 2018813, 'Health & Medical': 1338693, 'Event Planning & Services': 1296700, 'Local Services': 1198044, 'Active Life': 1097755, 'Automotive': 1015127, 'Home Services': 798008, 'Arts & Entertainment': 711681, 'Hotels & Travel': 664955, 'Pets': 476486, 'Professional Services': 369879, 'Education': 331238, 'Local Flavor': 159277, 'Financial Services': 136234, 'Mass Media': 26760, 'Religious Organizations': 24236})",43.8195876,-79.1138711,pickering,1097755,711681,1015127,2669835,331238,1296700,136234,5738865,1338693,798008,664955,159277,1198044,26760,2018813,476486,369879,24236,11815042,4162837
"Middleton, WI",middleton,wisconsin,"Counter({'Restaurants': 5610, 'Shopping': 3219, 'Food': 3122, 'Home Services': 1642, 'Nightlife': 1581, 'Beauty & Spas': 1504, 'Local Services': 1183, 'Automotive': 1181, 'Event Planning & Services': 1166, 'Health & Medical': 1054, 'Active Life': 991, 'Arts & Entertainment': 581, 'Hotels & Travel': 574, 'Pets': 505, 'Professional Services': 451, 'Education': 241, 'Financial Services': 201, 'Local Flavor': 186, 'Mass Media': 44, 'Religious Organizations': 23})",43.1125219,-89.5095369,middleton,991,581,1181,1504,241,1166,201,3122,1054,1642,574,186,1183,44,1581,505,451,23,5610,3219
"Stow, OH",stow,ohio,"Counter({'Restaurants': 4372253, 'Food': 2067972, 'Shopping': 1909398, 'Nightlife': 1184889, 'Beauty & Spas': 1006368, 'Automotive': 900061, 'Home Services': 802588, 'Event Planning & Services': 757584, 'Local Services': 704284, 'Health & Medical': 633600, 'Active Life': 566467, 'Hotels & Travel': 439660, 'Arts & Entertainment': 417462, 'Pets': 325746, 'Professional Services': 188985, 'Education': 139354, 'Local Flavor': 76215, 'Financial Services': 74446, 'Religious Organizations': 26159, 'Mass Media': 11200})",41.17998669,-81.48066825,stow,566467,417462,900061,1006368,139354,757584,74446,2067972,633600,802588,439660,76215,704284,11200,1184889,325746,188985,26159,4372253,1909398
"Brecksville, OH",brecksville,ohio,"Counter({'Restaurants': 9876371, 'Food': 4671143, 'Shopping': 4312707, 'Nightlife': 2676693, 'Beauty & Spas': 2272918, 'Automotive': 2032970, 'Home Services': 1812942, 'Event Planning & Services': 1711283, 'Local Services': 1590756, 'Health & Medical': 1431052, 'Active Life': 1279456, 'Hotels & Travel': 993160, 'Arts & Entertainment': 943069, 'Pets': 735708, 'Professional Services': 426880, 'Education': 314799, 'Local Flavor': 172183, 'Financial Services': 168185, 'Religious Organizations': 59089, 'Mass Media': 25306})",41.304797,-81.6259008,brecksville,1279456,943069,2032970,2272918,314799,1711283,168185,4671143,1431052,1812942,993160,172183,1590756,25306,2676693,735708,426880,59089,9876371,4312707
"Monona, WI",monona,wisconsin,"Counter({'Restaurants': 11098, 'Shopping': 6367, 'Food': 6188, 'Home Services': 3255, 'Nightlife': 3136, 'Beauty & Spas': 2971, 'Local Services': 2343, 'Automotive': 2336, 'Event Planning & Services': 2317, 'Health & Medical': 2080, 'Active Life': 1963, 'Arts & Entertainment': 1156, 'Hotels & Travel': 1136, 'Pets': 999, 'Professional Services': 891, 'Education': 480, 'Financial Services': 399, 'Local Flavor': 371, 'Mass Media': 87, 'Religious Organizations': 44})",43.0477585,-89.3390205,monona,1963,1156,2336,2971,480,2317,399,6188,2080,3255,1136,371,2343,87,3136,999,891,44,11098,6367
"Cornelius, NC",cornelius,north carolina,"Counter({'Restaurants': 367269, 'Shopping': 204363, 'Food': 190630, 'Beauty & Spas': 129792, 'Home Services': 120453, 'Health & Medical': 97561, 'Automotive': 96622, 'Local Services': 88573, 'Nightlife': 75851, 'Event Planning & Services': 70225, 'Active Life': 65494, 'Hotels & Travel': 38761, 'Arts & Entertainment': 35169, 'Pets': 34708, 'Professional Services': 30334, 'Education': 18473, 'Financial Services': 12512, 'Local Flavor': 9899, 'Religious Organizations': 3640, 'Mass Media': 992})",35.4911589,-80.858233,cornelius,65494,35169,96622,129792,18473,70225,12512,190630,97561,120453,38761,9899,88573,992,75851,34708,30334,3640,367269,204363
"Champaign, IL",champaign,illinois,"Counter({'Restaurants': 672, 'Shopping': 358, 'Food': 328, 'Home Services': 220, 'Local Services': 165, 'Beauty & Spas': 163, 'Automotive': 137, 'Nightlife': 135, 'Event Planning & Services': 123, 'Health & Medical': 101, 'Hotels & Travel': 97, 'Active Life': 70, 'Arts & Entertainment': 54, 'Pets': 51, 'Professional Services': 42, 'Education': 25, 'Financial Services': 17, 'Local Flavor': 17, 'Mass Media': 5, 'Religious Organizations': 4})",40.1339194,-88.2486281,champaign,70,54,137,163,25,123,17,328,101,220,97,17,165,5,135,51,42,4,672,358
"Buckeye, AZ",buckeye,arizona,"Counter({'Restaurants': 2356514, 'Shopping': 2038764, 'Home Services': 1855754, 'Health & Medical': 1593982, 'Beauty & Spas': 1330541, 'Food': 1307923, 'Local Services': 1108466, 'Automotive': 993855, 'Active Life': 650676, 'Event Planning & Services': 555329, 'Professional Services': 553549, 'Nightlife': 527163, 'Arts & Entertainment': 305923, 'Hotels & Travel': 304344, 'Financial Services': 291619, 'Education': 272104, 'Pets': 267814, 'Local Flavor': 74819, 'Religious Organizations': 46478, 'Mass Media': 23048})",33.4961149,-112.5138465,buckeye,650676,305923,993855,1330541,272104,555329,291619,1307923,1593982,1855754,304344,74819,1108466,23048,527163,267814,553549,46478,2356514,2038764
"Beachwood, OH",beachwood,ohio,"Counter({'Restaurants': 19755963, 'Food': 9343778, 'Shopping': 8626734, 'Nightlife': 5354319, 'Beauty & Spas': 4546494, 'Automotive': 4066531, 'Home Services': 3626457, 'Event Planning & Services': 3423131, 'Local Services': 3181995, 'Health & Medical': 2862517, 'Active Life': 2559282, 'Hotels & Travel': 1986640, 'Arts & Entertainment': 1886471, 'Pets': 1471605, 'Professional Services': 853896, 'Education': 629707, 'Local Flavor': 344431, 'Financial Services': 336435, 'Religious Organizations': 118197, 'Mass Media': 50623})",41.4675893,-81.4932632,beachwood,2559282,1886471,4066531,4546494,629707,3423131,336435,9343778,2862517,3626457,1986640,344431,3181995,50623,5354319,1471605,853896,118197,19755963,8626734
"Brampton, ON",brampton,ON,"Counter({'Restaurants': 5921849, 'Food': 2876364, 'Shopping': 2086465, 'Beauty & Spas': 1338159, 'Nightlife': 1011849, 'Health & Medical': 670978, 'Event Planning & Services': 649978, 'Local Services': 600488, 'Active Life': 550216, 'Automotive': 508771, 'Home Services': 399989, 'Arts & Entertainment': 356705, 'Hotels & Travel': 333328, 'Pets': 238795, 'Professional Services': 185401, 'Education': 166030, 'Local Flavor': 79832, 'Financial Services': 68284, 'Mass Media': 13412, 'Religious Organizations': 12149})",43.7315479,-79.7624177,brampton,550216,356705,508771,1338159,166030,649978,68284,2876364,670978,399989,333328,79832,600488,13412,1011849,238795,185401,12149,5921849,2086465
"Murrysville, PA",murrysville,pennsylvania,"Counter({'Restaurants': 693886, 'Food': 349230, 'Shopping': 317585, 'Nightlife': 170520, 'Beauty & Spas': 164849, 'Automotive': 146326, 'Home Services': 144457, 'Local Services': 115323, 'Health & Medical': 114897, 'Event Planning & Services': 110103, 'Active Life': 96975, 'Arts & Entertainment': 61167, 'Hotels & Travel': 59233, 'Pets': 50505, 'Professional Services': 31527, 'Education': 24756, 'Local Flavor': 17335, 'Financial Services': 15675, 'Religious Organizations': 6786, 'Mass Media': 2399})",40.42184811,-79.66102839,murrysville,96975,61167,146326,164849,24756,110103,15675,349230,114897,144457,59233,17335,115323,2399,170520,50505,31527,6786,693886,317585
